"","syncmeth","time"
"cln3_40","cln3",40
"cln3_30","cln3",30
"clb2_40","clb2",40
"clb2_40.0","clb2",40
"alpha_0","alpha",0
"alpha_7","alpha",7
"alpha_14","alpha",14
"alpha_21","alpha",21
"alpha_28","alpha",28
"alpha_35","alpha",35
"alpha_42","alpha",42
"alpha_49","alpha",49
"alpha_56","alpha",56
"alpha_63","alpha",63
"alpha_70","alpha",70
"alpha_77","alpha",77
"alpha_84","alpha",84
"alpha_91","alpha",91
"alpha_98","alpha",98
"alpha_105","alpha",105
"alpha_112","alpha",112
"alpha_119","alpha",119
"cdc15_10","cdc15",10
"cdc15_30","cdc15",30
"cdc15_50","cdc15",50
"cdc15_70","cdc15",70
"cdc15_80","cdc15",80
"cdc15_90","cdc15",90
"cdc15_100","cdc15",100
"cdc15_110","cdc15",110
"cdc15_120","cdc15",120
"cdc15_130","cdc15",130
"cdc15_140","cdc15",140
"cdc15_150","cdc15",150
"cdc15_160","cdc15",160
"cdc15_170","cdc15",170
"cdc15_180","cdc15",180
"cdc15_190","cdc15",190
"cdc15_200","cdc15",200
"cdc15_210","cdc15",210
"cdc15_220","cdc15",220
"cdc15_230","cdc15",230
"cdc15_240","cdc15",240
"cdc15_250","cdc15",250
"cdc15_270","cdc15",270
"cdc15_290","cdc15",290
"cdc28_0","cdc28",0
"cdc28_10","cdc28",10
"cdc28_20","cdc28",20
"cdc28_30","cdc28",30
"cdc28_40","cdc28",40
"cdc28_50","cdc28",50
"cdc28_60","cdc28",60
"cdc28_70","cdc28",70
"cdc28_80","cdc28",80
"cdc28_90","cdc28",90
"cdc28_100","cdc28",100
"cdc28_110","cdc28",110
"cdc28_120","cdc28",120
"cdc28_130","cdc28",130
"cdc28_140","cdc28",140
"cdc28_150","cdc28",150
"cdc28_160","cdc28",160
"elu_0","elu",0
"elu_30","elu",30
"elu_60","elu",60
"elu_90","elu",90
"elu_120","elu",120
"elu_150","elu",150
"elu_180","elu",180
"elu_210","elu",210
"elu_240","elu",240
"elu_270","elu",270
"elu_300","elu",300
"elu_330","elu",330
"elu_360","elu",360
"elu_390","elu",390
