source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009272,fungal-type cell wall biogenesis,0.013662641182636213,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a fungal-type cell wall. The fungal-type cell wall contains beta-glucan and may contain chitin."" [GOC:go_curators, GOC:mtg_sensu]",80,16,4,6570,0.25,0.05,query_1,"['GO:0042546', 'GO:0071852']"
GO:BP,GO:0030476,ascospore wall assembly,0.013662641182636213,True,"""The aggregation, arrangement and bonding together of a set of components to form an ascospore wall. During sporulation in Ascomycota, each ascospore nucleus becomes surrounded by a specialized spore wall, formed by deposition of spore wall components in the lumenal space between the outer and inner leaflets of the prospore membrane. An example of this process is found in Saccharomyces cerevisiae."" [GOC:mcc, PMID:14702385]",51,16,3,6570,0.1875,0.058823529411764705,query_1,"['GO:0003006', 'GO:0042244', 'GO:0070591', 'GO:0071940', 'GO:1903046']"
GO:BP,GO:0042546,cell wall biogenesis,0.013662641182636213,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cell wall. Includes biosynthesis of constituent macromolecules, such as proteins and polysaccharides, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component. A cell wall is the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."" [GOC:jl, GOC:mah, GOC:mtg_sensu, ISBN:0198506732]",108,16,4,6570,0.25,0.037037037037037035,query_1,"['GO:0044085', 'GO:0071554']"
GO:BP,GO:0042244,spore wall assembly,0.013662641182636213,True,"""The aggregation, arrangement and bonding together of a set of components to form a spore wall; a spore wall is the specialized envelope lying outside the cell membrane of a spore."" [GOC:mah, GOC:pg]",51,16,3,6570,0.1875,0.058823529411764705,query_1,"['GO:0010927', 'GO:0070590', 'GO:0070726']"
GO:BP,GO:0070590,spore wall biogenesis,0.013662641182636213,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a spore wall. A spore wall is the specialized cell wall lying outside the cell membrane of a spore."" [GOC:mah]",51,16,3,6570,0.1875,0.058823529411764705,query_1,"['GO:0030435', 'GO:0042546']"
GO:BP,GO:0070591,ascospore wall biogenesis,0.013662641182636213,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of an ascospore wall."" [GOC:mah]",51,16,3,6570,0.1875,0.058823529411764705,query_1,"['GO:0009272', 'GO:0030437', 'GO:0070590', 'GO:1903046']"
GO:BP,GO:0071940,fungal-type cell wall assembly,0.013662641182636213,True,"""The aggregation, arrangement and bonding together of a set of components to form a fungal-type cell wall."" [GOC:mah, GOC:vw, PMID:19646873]",52,16,3,6570,0.1875,0.057692307692307696,query_1,"['GO:0009272', 'GO:0031505', 'GO:0070726']"
GO:BP,GO:0070726,cell wall assembly,0.013662641182636213,True,"""The aggregation, arrangement and bonding together of a cell wall. A cell wall is a rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, and most prokaryotic cells."" [GOC:mah]",53,16,3,6570,0.1875,0.05660377358490566,query_1,"['GO:0022607', 'GO:0042546', 'GO:0071555']"
GO:BP,GO:0010927,cellular component assembly involved in morphogenesis,0.03419964590082087,True,"""The cellular component assembly that is part of the initial shaping of the component during its developmental progression."" [GOC:dph, GOC:tb]",78,16,3,6570,0.1875,0.038461538461538464,query_1,"['GO:0022607', 'GO:0032989', 'GO:0048646']"
GO:BP,GO:0032989,cellular anatomical entity morphogenesis,0.03419964590082087,True,"""The process in which a cellular entity is generated and organized. A cellular entity has granularity above the level of a protein complex but below that of an anatomical system."" [GOC:dph, GOC:mah, GOC:tb]",78,16,3,6570,0.1875,0.038461538461538464,query_1,['GO:0016043']
