feature,mean_abs_shap
cdc15_ls_band_power,1.5789313563546794
cross_ls_band_power_mean,1.298243921014044
cross_std_mean,0.9131222300200625
cdc15_ls_dominant_period,0.7765369776749851
cdc15_std,0.6696105789539442
alpha_ls_dominant_period,0.49044355063579353
cross_ls_band_power_min,0.4878823851500008
cdc28_ls_band_power,0.4544370173245074
alpha_std,0.4539644658998698
cross_ls_max_power_mean,0.43034971484328216
alpha_ls_max_power,0.41541418158936516
cdc28_autocorr_lag1,0.406405006648331
cdc15_missing_ratio,0.4024771238979621
cdc28_ls_dominant_period,0.38404381846139835
cdc28_range,0.37855371351510747
cdc28_std,0.3778071091404995
cdc15_ls_max_power,0.31049765554569586
alpha_sin_amplitude,0.30842375594625987
cross_autocorr_lag1_mean,0.2978473866207535
cdc15_autocorr_lag2,0.2975043129711318
cdc15_autocorr_lag1,0.28394192598049994
elu_autocorr_lag2,0.24705934468172908
cross_std_min,0.23996423716371715
cdc15_sin_freq,0.23627492271660985
cdc28_missing_ratio,0.2322538348199845
cdc15_sin_phase,0.22963697759719276
elu_ls_max_power,0.22356316296813328
cdc28_sin_phase,0.21836674021044017
cdc15_sin_amplitude,0.21562229151468068
cdc28_ls_max_power,0.20701097816114217
alpha_autocorr_lag2,0.19984341729435112
elu_sin_freq,0.19932436640823178
alpha_sin_freq,0.1840675396270296
elu_std,0.17608085437014215
cross_std_std,0.17570773333427087
elu_sin_phase,0.16828012675552845
cdc28_autocorr_lag2,0.16796783579919583
alpha_sin_phase,0.16656422009915978
cdc28_sin_amplitude,0.16437526505745675
cross_autocorr_lag1_min,0.1566840182099803
cdc28_sin_freq,0.15045501347803492
cdc15_peak_count,0.13818486996631818
alpha_mean,0.13670263667773785
cross_ls_max_power_std,0.11065774240815614
alpha_missing_ratio,0.10898744173010505
cross_autocorr_lag2_min,0.10772929583678047
cross_autocorr_lag2_mean,0.10670756627304807
elu_range,0.10540442505445599
cross_autocorr_lag1_std,0.10153576757065812
alpha_ls_band_power,0.09978013898363379
alpha_range,0.09090340020978707
cross_autocorr_lag2_std,0.09069986447758592
elu_ls_band_power,0.08896487817227756
cross_ls_band_power_std,0.08647340947906847
cdc15_range,0.08473406792842796
elu_autocorr_lag1,0.07596654515892488
elu_ls_dominant_period,0.07127020455815591
elu_mean,0.07008427483323616
elu_sin_amplitude,0.06743730285523332
cdc28_mean,0.06661596846301145
cdc15_mean,0.06575378111866863
alpha_peak_count,0.06134632198727016
cross_ls_max_power_min,0.05384649547172842
alpha_autocorr_lag1,0.04887322192249459
cdc28_peak_count,0.04646257193500099
elu_peak_count,0.035818848039264904
n_experiments_high_autocorr,0.026134722156251008
elu_missing_ratio,0.0
