Model,Accuracy,Precision_M,Recall_M,F1_M,Kappa,MCC,AUC
XGBoost,0.9542695265074869,0.911550647876667,0.8792995990237098,0.894483155540255,0.7890333582412634,0.7901923707998396,0.9694306427243143
LightGBM,0.9546742209631728,0.9189301107971639,0.8722167741748024,0.893616538731949,0.7873704736360501,0.7897665843668316,0.9716585309158532
CatBoost,0.9492108458114124,0.8890427355517397,0.8843742735936774,0.8866878539685723,0.7733773847641827,0.7734029192460993,0.9668322873082287
Gradient Boosting,0.9488061513557264,0.9146646111018732,0.8469004242212924,0.8765403134446215,0.7534254085464529,0.7585442096563577,0.9672063865643887
Random Forest,0.9481991096721974,0.9281697004820737,0.8305911494653649,0.8707061193522225,0.7421210633853459,0.7524602672529885,0.9636081328451884
Extra Trees,0.9457709429380817,0.9130373705538046,0.83318659925616,0.8671313462063209,0.7347841758312175,0.741939396070942,0.957810320781032
SVM (RBF),0.9425333872925941,0.89831350241798,0.8326570490469549,0.8613092697117741,0.7230126778130378,0.7280159182598205,0.9567463171199442
MLP,0.9382840955078915,0.8752815183339002,0.8401916986285448,0.8564877111812688,0.7131054713448075,0.7146122226380093,0.9379245844955835
KNN,0.9346418454067179,0.9222098257766145,0.7715971495815899,0.8248132228611377,0.6520323721639152,0.677262091678748,0.9218424933170618
Logistic Regression,0.8976123027114529,0.7729886087965404,0.8760176952580195,0.8103765243648132,0.6234967132304894,0.6407762402316998,0.9433283211297072
Naive Bayes,0.8925536220153784,0.7622848578737647,0.8285553957461645,0.7891333783801049,0.5796314433262177,0.5871119323500121,0.9051151717224547
