iter	Passed	Remaining
0	178	53222
1	192	28684
2	204	20239
3	217	16100
4	229	13530
5	242	11859
6	253	10625
7	265	9683
8	276	8951
9	292	8495
10	307	8079
11	320	7697
12	333	7364
13	346	7076
14	358	6813
15	370	6567
16	381	6354
17	392	6146
18	402	5948
19	412	5768
20	422	5612
21	432	5462
22	442	5323
23	452	5207
24	462	5092
25	472	4980
26	483	4890
27	493	4796
28	503	4703
29	514	4627
30	524	4552
31	533	4471
32	545	4409
33	555	4345
34	565	4280
35	576	4229
36	588	4179
37	598	4125
38	610	4088
39	624	4057
40	635	4013
41	646	3972
42	659	3939
43	670	3903
44	683	3875
45	697	3848
46	707	3810
47	718	3771
48	730	3743
49	741	3706
50	752	3671
51	764	3647
52	775	3614
53	785	3579
54	797	3552
55	807	3519
56	818	3490
57	830	3467
58	841	3435
59	851	3407
60	862	3381
61	873	3354
62	884	3326
63	894	3298
64	905	3275
65	918	3255
66	931	3237
67	944	3221
68	954	3194
69	964	3169
70	976	3148
71	986	3122
72	996	3098
73	1007	3075
74	1016	3049
75	1026	3026
76	1037	3005
77	1047	2980
78	1056	2955
79	1065	2930
80	1076	2910
81	1086	2888
82	1095	2865
83	1107	2847
84	1116	2824
85	1126	2802
86	1135	2780
87	1146	2761
88	1155	2739
89	1165	2718
90	1175	2700
91	1184	2678
92	1194	2659
93	1205	2642
94	1215	2623
95	1225	2603
96	1237	2589
97	1248	2572
98	1258	2555
99	1269	2539
100	1280	2523
101	1291	2506
102	1301	2488
103	1313	2474
104	1324	2459
105	1336	2445
106	1353	2440
107	1366	2429
108	1379	2417
109	1390	2401
110	1400	2384
111	1410	2367
112	1420	2351
113	1430	2334
114	1440	2317
115	1451	2301
116	1461	2285
117	1471	2268
118	1481	2252
119	1491	2236
120	1500	2219
121	1510	2203
122	1520	2188
123	1530	2171
124	1539	2155
125	1548	2138
126	1559	2124
127	1568	2108
128	1578	2091
129	1588	2076
130	1598	2062
131	1607	2046
132	1618	2031
133	1628	2017
134	1639	2004
135	1650	1990
136	1661	1976
137	1671	1961
138	1682	1948
139	1693	1935
140	1704	1922
141	1715	1909
142	1728	1897
143	1739	1884
144	1750	1871
145	1761	1858
146	1773	1845
147	1784	1832
148	1795	1819
149	1805	1805
150	1815	1791
151	1825	1777
152	1834	1762
153	1845	1749
154	1854	1735
155	1864	1721
156	1874	1707
157	1885	1694
158	1895	1680
159	1905	1667
160	1915	1653
161	1925	1640
162	1936	1627
163	1946	1614
164	1957	1601
165	1966	1587
166	1977	1574
167	1987	1561
168	1997	1548
169	2007	1535
170	2018	1522
171	2027	1509
172	2038	1496
173	2049	1483
174	2059	1471
175	2071	1459
176	2081	1446
177	2091	1433
178	2102	1420
179	2111	1407
180	2121	1394
181	2130	1381
182	2140	1368
183	2151	1356
184	2161	1343
185	2172	1331
186	2183	1319
187	2194	1307
188	2204	1294
189	2214	1282
190	2225	1270
191	2236	1258
192	2247	1246
193	2259	1234
194	2269	1222
195	2279	1209
196	2290	1197
197	2300	1185
198	2311	1172
199	2321	1160
200	2331	1148
201	2341	1136
202	2352	1123
203	2361	1111
204	2371	1099
205	2382	1087
206	2391	1074
207	2401	1062
208	2412	1050
209	2421	1037
210	2432	1025
211	2441	1013
212	2451	1001
213	2461	989
214	2470	976
215	2480	964
216	2490	952
217	2500	940
218	2510	928
219	2521	916
220	2530	904
221	2539	892
222	2550	880
223	2561	869
224	2571	857
225	2580	844
226	2590	832
227	2600	821
228	2610	809
229	2620	797
230	2630	785
231	2640	774
232	2650	762
233	2659	750
234	2669	738
235	2679	726
236	2690	715
237	2700	703
238	2709	691
239	2719	679
240	2728	668
241	2738	656
242	2748	644
243	2761	633
244	2773	622
245	2784	611
246	2796	599
247	2806	588
248	2816	576
249	2827	565
250	2838	554
251	2848	542
252	2859	531
253	2869	519
254	2880	508
255	2889	496
256	2900	485
257	2910	473
258	2920	462
259	2931	450
260	2941	439
261	2950	427
262	2960	416
263	2970	405
264	2979	393
265	2989	382
266	2998	370
267	3008	359
268	3018	347
269	3028	336
270	3037	325
271	3046	313
272	3057	302
273	3066	290
274	3075	279
275	3085	268
276	3096	257
277	3106	245
278	3117	234
279	3128	223
280	3137	212
281	3147	200
282	3157	189
283	3167	178
284	3177	167
285	3187	156
286	3197	144
287	3207	133
288	3218	122
289	3227	111
290	3237	100
291	3248	88
292	3258	77
293	3268	66
294	3280	55
295	3291	44
296	3300	33
297	3309	22
298	3320	11
299	3330	0
